method,ITE,ATE,metrics
S-Learner LR,"[1.999999999999998, 1.9999999999999987, 1.9999999999999987, 1.999999999999999, 1.9999999999999993, 2.220446049250313e-16, 1.9999999999999991, 1.9999999999999982]",1.9999999999999998,"[1.698796199394374e-30, 1.2862177740158606e-15, 1.303378762829276e-15, 1.2862177740158606e-15, 6.51689381414638e-16]"
XGBTRegressor,"[2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 2.0, 2.0]",2.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
BaseTRegressor XGB,"[2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 2.0, 2.0]",2.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
BaseTRegressor LR,"[2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 2.0, 2.0]",2.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
BaseXRegressor XGB,"[2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 2.0, 2.0]",2.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
BaseXRegressor LR,"[2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 2.0, 2.0]",2.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
BaseXRegressor XGB (without propensity score),"[2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 2.0, 2.0]",2.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
BaseXRegressor LR (without propensity score),"[2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 2.0, 2.0]",2.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
BaseRRegressor XGB,"[3.6223648294253508e-06, 3.6223648294253508e-06, 3.6223648294253508e-06, 3.6223648294253508e-06, 3.6223648294253508e-06, 0.0, 3.6223648294253508e-06, 3.6223648294253508e-06]",3.6223648294253508e-06,"[3.9999855105538034, 1.9999963776351706, 1.9999963776351704, 1.9999963776351706, 0.9999981888175852]"
BaseRRegressor LR,"[-2.9272906491754958, 0.7035801392352368, 1.2096859454370965, 1.3445007315641608, 1.4977342156078761, 0.6409205923289241, 2.305881620057547, -0.25780074925814933]",0.963642726587355,"[1.415439487411538, 1.036357273412645, 1.1897224413330774, 1.036357273412645, 0.5948612206665387]"
BaseRRegressor XGB (with random weight),"[3.6222759263182525e-06, 3.6222759263182525e-06, 3.6222759263182525e-06, 3.6222759263182525e-06, 3.6222759263182525e-06, 0.0, 3.6222759263182525e-06, 3.6222759263182525e-06]",3.6222759263182525e-06,"[3.9999855109094153, 1.9999963777240737, 1.9999963777240737, 1.9999963777240737, 0.9999981888620368]"
BaseRRegressor XGB (without propensity score),"[3.6812089092563838e-06, 3.6812089092563838e-06, 3.6812089092563838e-06, 3.6812089092563838e-06, 3.6812089092563838e-06, 0.0, 3.6812089092563838e-06, 3.6812089092563838e-06]",3.6812089092563838e-06,"[3.9999852751779157, 1.9999963187910907, 1.9999963187910912, 1.9999963187910907, 0.9999981593955456]"
Neural Network (MLP),,1.9999999546565186,
BCAUSS,"[0.0, 4.016592899560254e-23, 5.3845826e-16, 2.5767148414956864e-09, 0.5078484, 2.5767148414956463e-09, 6.441787103739156e-09, -3.865072262243429e-09]",0.0034034329000860453,"[3.9870214, 1.9965966, 1.9967527, 1.9965966, 0.99837637]"
CEVAE,"[1.8834785, 1.950274258852005, 1.9614615, 1.9918553829193115, 2.3098311, 0.04158112406730652, 2.0542270690202713, 1.8879025727510452]",1.9687776565551758,"[0.0014018206, 0.031313766, 0.037440896, 0.031222465, 0.018720448]"
Accelerated Bayesian Causal Forest,"[-0.04994711611560761, 1.999994124582845, 2.0000020060979793, 2.0000037880084416, 2.0000082955627065, 9.6634255966066e-06, 2.0000182831468365, 1.99997962944445]",1.7422776867954077,"[0.5152341866786688, 0.2577259784442367, 0.7177981517659884, 0.2577223132045925, 0.3588990758829942]"
CausalEGM,"[-0.12484968, 0.059909820556640625, 0.07635641, 0.09584903717041016, 0.3586205, 0.03593921661376953, 0.14975786209106445, 0.006000995635986328]",0.07459373027086258,"[3.708275, 1.9254065, 1.9256883, 1.9254065, 0.96284413]"
Double ML,"[1.9926409813246428, 1.9926409813246428, 1.9926409813246428, 1.9959080564245049, 2.015510507023677, 0.0032670750998620157, 2.000808669074298, 1.9877403686748498]",1.994487602332337,"[4.034885722106112e-05, 0.005971007228886984, 0.00635207503270082, 0.0055123976676630364, 0.00317603751635041]"
